question,answer_llm,answer_orig,document
Is it okay to join the course late if I just found it now?,"Yes, you can still join late. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take this course even if I missed the start date?,"Yes — you can still join the course even if you missed the start date. You can start whenever you want, and the materials are available. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?","Yes — you can still join after the course has started.

If you want a certificate, you need to submit your project while the course is still accepting submissions and complete the required peer reviews in a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your capstone project while a live cohort is still accepting submissions. You can work on it in self-paced mode, but the actual project submission and peer review must happen before submissions close.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,"Yes — you can still join, but to earn the certificate you need to:

- finish a **capstone project**
- complete the **required peer reviews**
- submit both while the course is still **live and accepting submissions**

Homework is **not required** for the certificate, though it’s recommended.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,"You don’t need to wait for a confirmation email — you’re already accepted. Registration is just to gauge interest, and it’s not checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,"No. You don’t need an acceptance/confirmation email.

You’re accepted, and you can start learning and submit homework while the form is open. Registration is only used to gauge interest, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?","No. Filling out the registration form does **not** put you on an officially checked list. Registration is only to gauge interest before the start date, and it is **not checked against any registered list**. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?","Registering is **not required**. It’s mainly there to **gauge interest before the course starts**. You can start learning and submitting homework while the form is open, and it is **not checked against a registered list**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,"Yes. You don’t need any confirmation email to start learning or submit homework. You’re accepted, and you can begin and submit while the homework form is open, even if you never received an email after signing up.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,"You can join via **YouTube Live** instead of Zoom. The **Zoom link is only for instructors/presenters/TAs**.

What to do:
- Check the **announcements channel on Telegram or Slack** for the video link before the session starts.
- Watch live on the **DataTalksClub YouTube channel**.
- Submit questions through **Slido** — the link is pinned in the chat when the session is live.

Don’t post questions directly in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where can I watch the live sessions for the course, and how do I ask questions during them?","You can watch live sessions on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub). The video link is also posted in the announcements channel on Telegram and Slack before the session starts.

To ask questions during live sessions, use **Slido** — the link is pinned in the chat when the session is live. Don’t post questions in the chat, since they may get missed.

If you’re asking a question outside a live session, post it in **Slack** and follow the course’s asking questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for the workshop shared with students, or only with the teaching team?","The Zoom link is only published to the instructors/presenters/TAs, not shared directly with students. Students join via YouTube Live, and the live link is posted in the announcements channel before the session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow the live Office Hours stream if I’m a student?,"If you’re a student, the best way is to watch the Office Hours live on the DataTalksClub YouTube Channel and use Slido to submit questions while it’s live. The stream link is usually posted in the announcements channel on Telegram and Slack before it begins. Don’t rely on chat for questions, since they may be missed if the room is active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I type my questions in the live chat during Office Hours, or use something else?",Don’t use the live chat for questions during Office Hours. Students should submit questions via **Slido** — the link is **pinned in the chat when the session is live**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I find my row on the leaderboard if I can’t see my name right away?,"Click the **“Jump to your record on the leaderboard”** link.  

If you still want to identify yourself, you can also check your **Display name** in **“Edit Course Profile”** — that’s the nickname shown publicly on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
