question,document
"I just found this course — can I still join now, or is it too late?",74eb249bbf
"If I start the course late, am I still able to get a certificate?",74eb249bbf
What do I need to do to be eligible for a certificate after joining now?,74eb249bbf
Is it okay to take part in the course even after it has already started?,74eb249bbf
Do I have to finish the project before submissions close in order to get the certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that a problem?",977bf7786c
Do I actually need a registration confirmation to start the course and turn in homework?,977bf7786c
"If I’m not on any registered list, can I still submit assignments while the form is open?",977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t affect access?,977bf7786c
"Should I wait for an acceptance email before I begin learning, or can I just start right away?",977bf7786c
Where do I find the live stream for office hours or workshop sessions if the Zoom link isn’t shared with students?,489dd1c9d9
"Can students join the office hours on YouTube Live, and where is the stream announced before it starts?",489dd1c9d9
"If I want to ask a question during the live session, should I use chat or Slido?",489dd1c9d9
"Why don’t we get the Zoom URL for office hours or live workshops, and who gets access to it?",489dd1c9d9
What’s the best way for students to follow the workshop stream and send questions during the live session?,489dd1c9d9
Where do I begin if I just joined LLM Zoomcamp and want to follow the course properly?,04919992b3
What’s the usual weekly routine for this course from videos to homework submission?,04919992b3
"Do I need to start on a fixed date, or can I jump into the materials whenever I want?",04919992b3
Which course pages or repos should I check first so I don’t miss anything important?,04919992b3
How do the lesson notebooks and homework usually relate to each other?,04919992b3
I signed up but can’t find my name on the leaderboard — how do I jump to my own entry?,c2903069a0
"Why does the leaderboard show a random name for me, and where do I check what display name I got?",c2903069a0
How can I change the name that others see for me in the course leaderboard?,c2903069a0
Is there a way to make my certificate show my real name instead of the default nickname?,c2903069a0
What’s the difference between the first name field and the second name field in the course profile settings?,c2903069a0
"Can I do the course on my own schedule and still get the certificate, or does it only count with a live cohort?",69d122f12e
"If I study the material in self-paced mode, what exactly do I still need to do to earn the certificate?",69d122f12e
"Do I have to submit the capstone project during a live run, or can I turn it in later after finishing the lessons?",69d122f12e
"Are homework assignments mandatory for the certificate, or is the project plus peer review enough?",69d122f12e
I’m planning to learn everything first and do the project later — will that still qualify me for the certificate?,69d122f12e
Can I still get the certificate if I missed the first homework?,9f689c185f
Do I have to do every homework to earn the course certificate?,9f689c185f
What do I actually need to pass to get the certificate in this course?,9f689c185f
"Is homework required for the certificate, or is it just for practice?",9f689c185f
"If homework isn't mandatory, does it still matter for anything like ranking?",9f689c185f
Why does the homework keep changing while I’m trying to work on it?,96286b4be4
How can I tell if a homework assignment is actually ready and not still in draft?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
"Can I start the homework before the form is open, or could it still change later?",96286b4be4
Is it safe to submit or study from a homework that still shows as draft?,96286b4be4
